Song-Name,Singer/Artists,Genre,Album/Movie,User-Rating,similarity_factor
Saajna (Unplugged),Falak Shabir,BollywoodRomantic,I Me Aur Mein,,0.0
Maine Socha Ke Chura Loon,"Arijit Singh, Shreya Ghoshal",BollywoodRomantic,Phir Se,,0.0
Thare Vaaste,Divya Kumar,BollywoodPatriotic,Parmanu The Story of Pokhran,,0.0
Andha Dhun,Raftaar,BollywoodDance,Andha Dhun,,0.0
Daryaa,"Ammy Virk, Shahid Mallya",BollywoodSad,Manmarziyaan,,0.0
Give Me Some Sunshine,"Sharman Joshi, Suraj Jagan",BollywoodSad,3 Idiots,,0.0
Mere Bina,Nikhil Dsouza,BollywoodRomantic,Crook,,0.0
Mahi,"Harshdeep Kaur, Shabab Sabri",BollywoodSad,Irada,,0.0
Dhoop Ke Makaan Sa,"Hitesh Sonik, Shekhar Ravjiani",BollywoodRomantic,Break Up Ke Baad,,0.0
Abhi Kuch Dino Se,Mohit Chauhan,BollywoodDance,Dil Toh Bachha Hai,,0.0
Beat Juunglee,"Armaan Malik, Prakriti Kakkar",BollywoodDance,Dil Juunglee,,0.0
Khalbali,"A.R. Rahman, Mohammed Aslam, Nacim",BollywoodDance,Rang De Basanti,,0.0
Mahek Bhi,Shreya Ghoshal,BollywoodRomantic,Aiyyaa,,0.0
Nazar Na Lag Jaaye,"Ash King, Jigar, Sachin Sanghvi",BollywoodRomantic,Stree,,0.0
Main Kya Karoon,Nikhil Paul George,BollywoodDance,Barfi,,0.0
Yeh Hava Yeh Fiza,"Asha Bhosle, Suresh Wadkar",BollywoodDance,Sadma,,0.0
Daiyya Maiyya,"Rasika Chandrashekhar, Shankar Mahadevan, Udit Narayan",BollywoodDance,Kill Dil,,0.0
Main Agar Kahoon,"Shreya Ghoshal, Sonu Nigam",BollywoodRomantic,Om Shanti Om,,0.0
O Meri Laila,"Atif Aslam, Jyotica Tangri",BollywoodRomantic,Laila Majnu,,0.0
Chalte Chalte,Atif Aslam,BollywoodRomantic,Mitron,,0.0
Ae Watan,Arijit Singh,BollywoodPatriotic,Raazi,,0.0
Sunn Le Zara,Arnab Dutta,BollywoodSad,1921,,0.0
Saajna,Falak Shabir,BollywoodRomantic,I Me Aur Main,,0.0
Ha Raham Mehfuz,"Amit Trivedi, Murtuza Qadir",BollywoodDance,Aamir,,0.0
Soniye Mil Ja,"Sukhwinder Singh, Sunidhi Chauhan",Bollywood,Aaja Nachle,,0.0
Hawayein,Arijit Singh,BollywoodRomantic,Jab Harry Met Sejal,,0.0
Laakh Duniya Kahe,"Nisha Mascarenhas, Ram Sampath",BollywoodSad,Talaash,,0.0
Muskurane (Unplugged),"Jeet Gannguli, Mohammed Irfan",BollywoodRomantic,Citylights,,0.0
Naina Da Kya Kasoor,Amit Trivedi,BollywoodRomantic,Andha Dhun,,0.0
Rab Ka Shukrana,Mohit Chauhan,BollywoodRomantic,Jannat 2,,0.0
Mera Intkam Dekhegi,Krishna Beuraa,BollywoodSad,Shaadi Mein Zaroor Aana,,0.0
Mera Jahan,"Adnan Sami, Ananya Wadkar, Auriel Cordo",BollywoodSad,Taare Zameen Par,,0.0
Naino Ne Bandhi,Yasser Desai,BollywoodRomantic,Gold,,0.0
Money Hai Toh Honey Hai,Harshdeep Kaur,BollywoodDance,Money Hai Toh Honey Hai,,0.0
Noor E Khuda,"Adnan Sami, Shankar Ehsaan Loy, Shankar Mahadevan, Shreya Ghoshal",BollywoodMotivational,My Name is Khan,,0.0
Tu Hi Toh Meri Dost Hai,"A.R. Rahman, Benny Dayal, Shreya Ghoshal",BollywoodDance,Yuvvraaj,,0.0
Ek Ladki Ko Dekha Toh Aisa Laga,"Darshan Raval, Rochak Kohli",BollywoodRomantic,Ek Ladki Ko Dekha Toh Aisa Laga,,0.0
Parinda,Pardeep Sran,Bollywood,Jab Harry Met Sejal,,0.0
Jab Se Mere Naina,Shaan,BollywoodDanceRomantic,Saawariya,,0.0
O Rangrez,Divya Kumar,BollywoodRomantic,Bhaag Milkha Bhaag,,0.0
Aashiyan,"Nikhil Paul George, Shreya Ghoshal",BollywoodDance,Barfi,,0.0
Maula Sun Le Re,Papon,BollywoodSad,Madras Cafe,,0.0
Pankhon Ko,Salim Merchant,BollywoodSad,Rocket Singh,,0.0
Yeh Jo Des Hai Tera,A.R. Rahman,BollywoodPatriotic,Swades,,0.0
Namo Namo,Amit Trivedi,BollywoodDevotional,Kedarnath,,0.0
O Heeriye,Ayushman Khurana,BollywoodSad,Bewakoofiyaan,,0.0
Qaafirana,"Arijit Singh, Nikhita Gandhi",BollywoodRomantic,Kedarnath,,0.0
Salaam India,"Salim Merchant, Vishal Dadlani",BollywoodMotivationalPatriotic,Mary Kom,,0.0
Aa Ghar Chalein Hum,Monali Thakur,BollywoodDevotional,Lakshmi,,0.0
Mera Pyar Tera Pyar,Arijit Singh,BollywoodRomanticSad,Jalebi,,0.0
Tere Bin,Atif Aslam,BollywoodSad,Bas Ek Pal,,0.0
F.U.N. Fun Funaa,Ali Zafar,BollywoodDance,Luv Ka The End,,0.0
Jhelum,Vishal Bhardwaj,BollywoodSad,Haider,,0.0
Kaise Mujhe,Benny Dayal,BollywoodRomantic,Ghajini,,0.0
Hona Tha Pyar,"Atif Aslam, Hadiqa Kiani",BollywoodRomantic,Bol,,0.0
Dekho Bijli Dole Bin Badal Ki,"Asha Bhosle, Usha Mangeshkar",BollywoodDance,Phir Wohi Dil Laya Hoon,,0.0
Oh Jaaniya,"Raj Pandit, Salim Merchant, Shreya Ghoshal",BollywoodRomantic,Wedding Pullav,,0.0
Jaane Kya,Zubeen Garg,BollywoodSad,Pyaar Ke Side Effects,,0.0
Main Hoon Hero Tera,Armaan Malik,BollywoodRomantic,Hero,,0.0
Mil Gayee Woh Manzilen,"Alka Yagnik, Kumar Sanu",BollywoodDance,Kabhi Na Kabhi,,0.0
Teri Khair Mangdi,Bilal Saeed,BollywoodSad,Baar Baar Dekho,,0.0
Love Mashup 2016 (Kiran Kamath),Multiple,BollywoodRomantic,Single,,0.0
Ab Mujhko Jeena,Zubeen Garg,BollywoodDance,Aashayein,,0.0
Theher Ja,Armaan Malik,BollywoodRomantic,October,,0.0
Adhoore Tum Adhoore Hum,"Alyssa Mendonsa, Vishal Dadlani",BollywoodDance,Break Up Ke Baad,,0.0
Uff Teri Adaa I Like You,"Alyssa Mendonsa, Shankar Mahadevan",BollywoodDance,Karthik Calling Karthik,,0.0
Dilbaro,"Harshdeep Kaur, Shankar Mahadevan, Vibha Saraf",Bollywood,Raazi,,0.0
Fatal Attraction,"Natalie Di Luccio, Salim Merchant",BollywoodDance,Ladies Vs Ricky Bahl,,0.0
Tera Yaar Hoon Main,Arijit Singh,BollywoodRomanticSad,Sonu Ke Titu Ki Sweety,,0.0
Dil Kya Kare,Adnan Sami,BollywoodRomantic,Salaam-E-Ishq,,0.0
Bhaage Re Mann,Sunidhi Chauhan,BollywoodDance,Chameli,,0.0
Jaane Kyun,Vishal Dadlani,BollywoodDance,Dostana,,0.0
Ghum Shuda,Sonu Nigam,BollywoodDance,Chalte Chalte,,0.0
Senorita,"Abhay Deol, Farhan Akhtar, Hrithik Roshan",BollywoodDance,Zindagi Na Milegi Dobara,,0.0
Kar Har Maidaan Fateh,"Shreya Ghoshal, Sukhwinder Singh",BollywoodMotivational,Sanju,,0.0
Itni Si Baat Hai,"Antara Mitra, Arijit Singh",BollywoodRomantic,Azhar,,0.0
Tu Hi Mera,Shafqat Amanat Ali,BollywoodRomantic,Jannat 2,,0.0
Baatein Kuch Ankahee,"Adnan Sami, Pritam Chakraborty",BollywoodRomantic,Life In A Metro,,0.0
Yeh Haseen Vadiyan Yeh Khula Aasman,"A.R. Rahman, K. S. Chithra, S.P. Balasubrahmanyam",BollywoodRomantic,Roja,,0.0
Confused Lover,"Aaniya, Mika Singh",BollywoodDance,Teri Bhabhi Hai Pagle,,0.0
Gulon Mein Rang Bhare,Arijit Singh,BollywoodSad,Haider,,0.0
Bekarar Karke Hume,Hemant Kumar,BollywoodRomantic,Bees Saal Baad,,0.0
Daayre,Arijit Singh,BollywoodRomantic,Dilwale,,0.0
Sahiba,"Pawni Pandey, Romy",BollywoodSad,Phillauri,,0.0
Aaj Ibaadat,"Altamash Faridi, Javed Bashir, Shadab Faridi, Shashi Suman, Shreyas Puranik",BollywoodDevotional,Bajirao Mastani,,0.0
Ek Din Aap,"Alka Yagnik, Kumar Sanu",BollywoodDanceRomantic,Yes Boss,,0.0
Tujhe Dekhti Hai Nazar,Mohd. Irfan,BollywoodRomantic,Nanu Ki Jaanu,,0.0
Ek Villain,Multiple,BollywoodDance,Ek Villain,,0.0
Kuch To Baaki Hai,Himesh Reshammiya,BollywoodSad,Milenge Milenge,,0.0
Dastaan-e-Om Shanti Om,Shaan,BollywoodDance,Om Shanti Om,,0.0
